Label,precision,recall,f1-score,support
FindMy Tracker (lost),0.985,1.0,0.993,8208.0
FindMy Tracker (nearby),1.0,0.985,0.992,8207.0
FindMy Tracker (unpaired),1.0,1.0,1.0,8207.0
SmartTag (lost),1.0,1.0,1.0,8208.0
SmartTag (nearby),1.0,0.999,1.0,8207.0
Tile (lost),1.0,1.0,1.0,8208.0
iDevice,1.0,1.0,1.0,8207.0
iDevice FindMy offline,1.0,1.0,1.0,8207.0
iDevice FindMy online,1.0,1.0,1.0,8207.0
other Device,0.999,1.0,1.0,8207.0
,,,,
accuracy,0.998,0.998,0.998,0.998
macro avg,0.998,0.998,0.998,82073.0
weighted avg,0.998,0.998,0.998,82073.0
