Label,precision,recall,f1-score,support
FindMy Tracker (lost),0.984,1.0,0.992,7010.0
FindMy Tracker (nearby),1.0,0.983,0.992,7009.0
FindMy Tracker (unpaired),1.0,1.0,1.0,7009.0
SmartTag (lost),1.0,1.0,1.0,7010.0
SmartTag (nearby),1.0,0.992,0.996,7009.0
Tile (lost),1.0,1.0,1.0,7010.0
iDevice,1.0,1.0,1.0,7010.0
iDevice FindMy offline,1.0,1.0,1.0,7010.0
iDevice FindMy online,1.0,1.0,1.0,7009.0
other Device,0.992,1.0,0.996,7009.0
,,,,
accuracy,0.998,0.998,0.998,0.998
macro avg,0.998,0.998,0.998,70095.0
weighted avg,0.998,0.998,0.998,70095.0
